School Name,City,State,Region,Zip,Latitude,Longitude,Acceptance Rate,Undergrads,Tuition (In-State) ,Average Cost of Attendence,School Type,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Illinois Institute of Technology (IIT),Chicago,Illinois,Midwestern,60616,41.8313,-87.627321,0.571,2859,45214,57277,Engineering,56000,97800,56100,77400,121000,165000
Illinois State University,Normal,Illinois,Midwestern,61790-1000,40.509403,-88.990058,0.8888,18571,14061,27421,State,42000,73400,39100,55200,105000,142000
Northern Illinois University (NIU),Dekalb,Illinois,Midwestern,60115-2828,41.933869,-88.766428,0.5184,14036,14204,28725,State,43600,80800,43900,60200,111000,161000
Northwestern University,Evanston,Illinois,Midwestern,60208,42.050356,-87.679858,0.1066,8563,50855,67887,,52700,95900,51900,69100,144000,205000
Robert Morris College (RMC),Chicago,Illinois,Midwestern,60605,41.876278,-87.627068,0.2313,2345,25800,35116,,38500,68200,37300,47100,95000,128000
Southern Illinois University Carbondale,Carbondale,Illinois,Midwestern,62901-4512,37.714193,-89.217273,0.7665,12056,13481,26868,State,43000,72500,38300,51300,99300,139000
University Of Chicago,Chicago,Illinois,Midwestern,60637,41.787994,-87.599539,0.0794,5978,53649,70100,,53400,113000,62200,83300,174000,255000
University of Illinois at Chicago,Chicago,Illinois,Midwestern,60607,41.871837,-87.650503,0.7359,17804,13664,25131,State,47500,81700,44700,58800,110000,146000
University of Illinois at Urbana-Champaign (UIUC),Champaign,Illinois,Midwestern,61820-5711,40.104718,-88.229114,0.6007,32752,15058,29764,State,52900,96100,48200,68900,132000,177000
Ball State University (BSU),Muncie,Indiana,Midwestern,47306,40.203431,-85.409043,0.6225,16260,9654,23157,State,39100,64500,35500,48200,89300,128000
DePauw University,Greencastle,Indiana,Midwestern,46135-1772,39.640904,-86.860363,0.6533,2186,46448,58478,Liberal Arts,41400,88200,49500,57400,133000,185000
"Indiana University (IU), Bloomington",Bloomington,Indiana,Midwestern,47405-7000,39.16609,-86.526559,0.7872,32924,10388,24432,State,46300,84000,43600,60400,119000,178000
Indiana Wesleyan University (IWU),Marion,Indiana,Midwestern,46953-4974,40.517937,-85.667503,0.7388,2679,25346,36050,,39800,58500,39600,47800,78600,93400
Purdue University,West Lafayette,Indiana,Midwestern,47907-2040,40.428206,-86.914435,0.5597,30849,10002,22698,State,51400,90500,49900,67400,121000,168000
University of Notre Dame,Notre Dame,Indiana,Midwestern,46556,41.703058,-86.238959,0.1873,8496,49685,64775,,56300,116000,66400,85100,163000,235000
Grinnell College,Grinnell,Iowa,Midwestern,50112-1690,41.747952,-92.722094,0.2019,1657,48758,61098,Liberal Arts,42600,76600,N/A,65100,116000,N/A
Iowa State University,Ames,Iowa,Midwestern,50011-2103,42.026212,-93.648504,0.8749,30224,8219,19182,State,45400,84600,44400,60000,109000,147000
University of Iowa (UI),Iowa City,Iowa,Midwestern,52242-1316,41.661935,-91.536425,0.8411,22990,8575,21010,State,44700,83900,43300,61100,116000,163000
Kansas State University (KSU),Manhattan,Kansas,Midwestern,66506,39.188648,-96.581077,0.9407,19151,9874,21989,State,43300,79000,37200,54100,106000,138000
